4.6817,4.6998,4.501,4.4822,4.4085,4.2884,4.3982,4.3321,4.3916,4.3202,4.2618,4.1311,4.4736,4.4106,4.2776,5.4666,4.9252,4.4617,4.4078,4.5796,4.3663,4.6739,4.8078,4.7594,5.0151
5.0316,4.5865,5.0204,4.8905,4.8497,4.6641,4.7355,4.3492,4.4648,4.3898,4.4034,4.3071,4.3691,4.2778,4.4359,5.6123,4.93,4.6044,4.6239,4.3816,4.3536,5.0941,4.8003,4.7589,5.0579
4.6396,4.859,4.7051,4.9826,4.9624,4.7934,4.7222,4.4812,4.4665,4.4197,4.3267,4.4582,4.4755,4.4719,4.4889,4.9521,5.2015,4.442,4.4548,4.3845,4.237,5.1711,4.784,4.6379,5.126
5.5179,5.781,6.0805,6.1108,6.0621,4.8647,4.7019,4.5112,4.4936,4.4286,4.3366,4.4686,4.4982,4.4619,4.4689,5.106,5.2734,4.4279,4.4678,4.3706,4.2751,5.1896,4.7918,4.6852,5.1871
4.6048,4.7876,4.7483,4.7839,4.8717,4.7609,4.6666,4.4613,4.4401,4.405,4.2883,4.4133,4.455,4.4369,4.4412,5.0937,5.2276,4.3537,4.4268,4.3071,4.2048,5.1664,4.8271,4.621,5.1489
5.2965,5.1125,5.1828,5.2732,5.4638,5.0518,4.9568,4.4823,4.5571,4.504,4.535,5.0399,4.508,4.4926,5.1596,5.1719,5.2891,5.2356,4.5073,4.8672,4.2516,5.2375,5.0223,4.656,5.2354
4.5046,4.4268,4.7474,4.8024,4.9391,5.0129,4.7121,4.4591,4.4586,4.457,4.4031,4.3848,4.5287,4.4042,4.4922,5.1373,5.2031,4.5338,4.4602,4.3733,4.1893,5.2091,4.8511,4.6455,5.199
4.4167,4.452,4.6682,4.7826,4.9042,4.9731,4.7956,4.4561,4.4344,5.0256,4.3653,4.4707,4.5272,4.5367,4.5981,5.2925,5.2583,4.6337,4.6077,4.5807,4.4145,5.2728,5.1846,4.7821,5.3766
4.4758,4.5011,4.6715,4.8276,4.9002,4.9449,4.7362,4.4763,4.4454,4.4805,4.3102,4.3844,4.459,4.4581,4.5124,5.2498,5.2544,4.5648,4.5045,4.4286,4.2764,5.296,4.9225,4.6658,5.322
4.5696,4.6504,4.7538,4.8118,4.9086,4.8425,5.332,4.4482,4.4157,4.4393,4.2992,4.3517,4.4127,4.438,4.4701,5.3352,5.3613,4.5645,4.5093,4.403,4.3284,5.2603,4.9399,4.6491,5.0957
4.5949,4.6483,4.7855,4.8769,4.9782,4.8507,4.6995,4.5883,4.5615,4.4761,4.3174,4.3881,4.4294,4.4681,4.5271,5.3764,5.2543,4.645,4.5284,4.4377,4.2934,5.3739,4.9215,4.6927,5.2226
4.9078,5.3215,5.3277,5.3207,5.4862,4.9028,4.787,4.7527,4.6509,4.5156,4.4319,4.4418,4.4815,4.5182,4.5698,5.5745,5.276,4.7723,4.5441,4.4552,4.3433,5.3942,5.0661,4.7388,5.3253
4.4495,4.585,4.7759,4.8944,4.9787,4.8778,4.7497,4.7009,4.6822,4.5182,4.3999,4.3841,4.4182,4.4574,4.5135,5.4431,5.2996,4.5622,4.5006,4.4086,4.2902,5.3122,5.013,4.717,5.3574
4.6444,5.155,5.0027,5.1733,5.0982,5.0186,4.7339,4.6126,4.4661,4.404,4.3909,4.331,4.4422,4.4717,4.6209,5.3379,5.2305,4.6194,4.5713,4.3196,4.2578,5.5165,5.3342,4.7404,5.027
5.8691,5.9965,6.1432,5.9637,6.193,5.5751,5.7511,5.587,5.6602,5.6737,5.6266,5.3346,5.304,5.368,5.4956,5.7964,5.6261,5.6866,5.5741,5.2348,5.4071,5.5703,5.7157,5.4856,5.664
5.7897,5.9347,6.0841,5.8506,6.171,4.9792,4.9287,4.722,4.5946,4.5076,5.5965,5.3074,5.2756,5.3483,5.4607,5.7641,5.5798,5.6326,5.5221,5.1902,5.3601,5.5394,5.5101,5.4231,5.6527
4.9253,5.1928,5.4023,5.3861,5.373,5.1581,4.767,4.6692,4.5161,4.5883,4.3864,4.6834,4.4224,4.4775,4.6837,5.4351,5.373,4.5824,4.5638,4.3443,4.2141,5.6389,5.3941,4.8368,5.1259
