Dataset, Volume_ArcGIS (m3)
..ExtractRaster\1997FallWC_c.tif,900664.7404
..tractRaster\1998SpringWC_c.tif,852563.3926
..k6\ExtractRaster\2004Sep_c.tif,933790.1754
..k6\ExtractRaster\2005Apr_c.tif,910697.6832
..k6\ExtractRaster\2005Oct_c.tif,904973.8467
..k6\ExtractRaster\2006Mar_c.tif,898102.5749
..k6\ExtractRaster\2006Oct_c.tif,885012.2754
..k6\ExtractRaster\2007Apr_c.tif,859740.1083
..k6\ExtractRaster\2007Dec_c.tif,842834.2646
..k6\ExtractRaster\2008Apr_c.tif,789592.0913
..k6\ExtractRaster\2008Sep_c.tif,799065.8035
..k6\ExtractRaster\2009Mar_c.tif,788477.1612
..ExtractRaster\2010LidarP_c.tif,784294.713
..\ExtractRaster\2014USACE_c.tif,785693.4114
..ractRaster\201603El_nino_c.tif,797855.5907
..ExtractRaster\201605ElNino_c.tif,775417.3763
..ractRaster\201610El_nino_c.tif,915552.5694
